index,name,u,v,z_norm,x_norm,y_norm
117,,282.2862073481083,383.0716364979744,0.01069900393486023,0.36051878333091736,0.48736849427223206
118,,300.54816260933876,390.1775434613228,-0.002506844000890851,0.3838418424129486,0.4964090883731842
119,,327.0902000963688,389.5524807572365,-0.008950388990342617,0.41773971915245056,0.49561384320259094
120,,346.3580199480057,384.5286013484001,-0.012225475162267685,0.4423474073410034,0.48922213912010193
121,,360.41345205903053,379.0069018006325,-0.01766481064260006,0.4602981507778168,0.4821970760822296
122,,389.0193262696266,368.3617213368416,-0.055258072912693024,0.49683183431625366,0.4686535894870758
123,,255.11575242877007,410.3521192073822,0.04634948447346687,0.32581833004951477,0.5220764875411987
124,,274.0250266492367,336.1491603255272,0.003529001260176301,0.3499681055545807,0.4276706874370575
125,,391.91480684280396,462.2379924058914,-0.07937738299369812,0.5005297660827637,0.5880890488624573
126,,360.15622794628143,408.5533422231674,-0.02811390347778797,0.4599696397781372,0.5197879672050476
127,,232.46122232079506,340.717360496521,0.14091433584690094,0.29688534140586853,0.43348264694213867
128,,371.33393758535385,372.75477558374405,-0.021549353376030922,0.4742451310157776,0.4742427170276642
129,left.nose.wing.outer,350.36836391687393,437.7406597137451,-0.015617202036082745,0.44746917486190796,0.5569219589233398
130,,295.4132477939129,347.6253527998924,0.006422289647161961,0.37728384137153625,0.4422714412212372
131,,364.4375404715538,429.7836892604828,-0.062305986881256104,0.46543747186660767,0.546798586845398
132,,240.1195843219757,443.84310257434845,0.17244020104408264,0.30666613578796387,0.5646858811378479
133,left.eye.corner_inner,362.60875940322876,353.3517601490021,-0.006129677873104811,0.463101863861084,0.44955694675445557
134,,376.53643119335175,424.25182342529297,-0.08055733144283295,0.4808894395828247,0.5397605895996094
135,,281.20583340525627,524.7023327350616,0.08419489860534668,0.35913899540901184,0.6675602197647095
136,,280.83604019880295,539.3321356773376,0.1167757511138916,0.35866671800613403,0.6861732006072998
137,,240.03833109140396,409.7829945087433,0.1092836782336235,0.3065623641014099,0.5213524103164673
138,,264.1239868104458,502.55139791965485,0.10021106153726578,0.3373230993747711,0.6393783688545227
139,,247.78380346298218,320.23793667554855,0.05896372348070145,0.3164544105529785,0.4074274003505707
140,,337.68609273433685,580.2363102436066,0.04251299798488617,0.43127214908599854,0.7382141351699829
141,,392.6554200053215,463.92910981178284,-0.05434393510222435,0.5014756321907043,0.5902405977249146
142,,347.1472170352936,417.5731816291809,-0.019892528653144836,0.4433553218841553,0.5312635898590088
143,,257.08512818813324,353.0065982937813,0.0425725020468235,0.3283334970474243,0.4491178095340729
144,,320.3415849208832,356.12286990880966,-0.008995545096695423,0.4091207981109619,0.45308253169059753
145,left.eye.bottom,331.4796946942806,357.14198166131973,-0.012230213731527328,0.4233457148075104,0.4543791115283966
146,,343.7535762190819,505.7631483078003,0.012747427448630333,0.43902117013931274,0.6434645652770996
147,,256.47045519948006,439.92575562000275,0.06003289297223091,0.32754847407341003,0.5597019791603088
148,,361.60994204878807,601.2585060596466,0.05021825432777405,0.46182623505592346,0.7649599313735962
149,,320.1860556900501,577.8124705553055,0.07838289439678192,0.4089221656322479,0.7351303696632385
150,,302.01020738482475,561.8917365074158,0.09529384225606918,0.38570907711982727,0.7148749828338623
151,,405.05906867980957,270.770445227623,-0.0679854229092598,0.5173168182373047,0.3444916605949402
152,center.chin.tip,389.9654060304165,604.9508829116821,0.04795210808515549,0.498040109872818,0.7696576118469238
153,,342.40137031674385,356.1804710626602,-0.012356390245258808,0.43729421496391296,0.4531558156013489
154,,352.82649582624435,354.42739552259445,-0.00969859678298235,0.4506085515022278,0.45092543959617615
155,,359.50405526161194,353.8756284713745,-0.006457249168306589,0.4591367244720459,0.450223445892334
156,,262.6680325269699,331.06716442108154,0.01964624784886837,0.33546364307403564,0.4212050437927246
157,,350.0496981739998,344.036840736866,-0.014823135919868946,0.4470621943473816,0.4377059042453766
158,,338.0946690738201,340.5706520676613,-0.019608577713370323,0.4317939579486847,0.43329599499702454
159,left.eye.top,326.7920926809311,340.17850041389465,-0.019960720092058182,0.41735899448394775,0.43279707431793213
160,,315.9192810058594,341.868727684021,-0.01625111512839794,0.403472900390625,0.43494749069213867
161,,309.1776197254658,344.3025462627411,-0.010318893007934093,0.3948628604412079,0.4380439519882202
162,,236.29013496637344,307.85919338464737,0.10377147048711777,0.30177539587020874,0.3916783630847931
163,,312.79033157229424,353.8490415215492,-0.004654274322092533,0.3994767963886261,0.45018962025642395
164,,397.2178752422333,477.07243287563324,-0.03431353345513344,0.5073025226593018,0.6069623827934265
165,,352.15672838687897,476.11778569221497,-0.01919816993176937,0.44975316524505615,0.6057478189468384
166,,364.83496257662773,450.8331981897354,-0.047593045979738235,0.4659450352191925,0.5735791325569153
167,,378.07403540611267,476.00178694725037,-0.0341213122010231,0.4828531742095947,0.6056002378463745
168,,402.2332670688629,347.3320530653,-0.05330308526754379,0.5137078762054443,0.44189828634262085
169,,299.84047544002533,546.2327023744583,0.07257974147796631,0.382938027381897,0.6949525475502014
170,,318.12441247701645,563.4745384454727,0.05896168574690819,0.40628916025161743,0.7168887257575989
171,,361.96109041571617,591.9350366592407,0.02878580428659916,0.4622747004032135,0.7530980110168457
172,,263.9525662958622,514.3690277338028,0.14262108504772186,0.3371041715145111,0.6544135212898254
