frame,status,rmse,angle_axis_x,angle_axis_y,angle_axis_z,translation_x,translation_y,translation_z,focal_length,expression_0,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,expression_8,expression_9,expression_10,expression_11,expression_12,expression_13,expression_14,expression_15,expression_16,expression_17,expression_18,expression_19,expression_20,expression_21,expression_22,expression_23,expression_24,expression_25,expression_26,expression_27,expression_28,expression_29
49,tracked,0.01325917108,0.1210415343,0.0788236327,1.61528353,-21.68135375,9.062947539,679.3202453,1.203529897,0.07097499174,0.3829516784,0.106341775,-0.06962268676,0.04546867145,0.1771748506,-0.04853743338,0.1019857214,-0.01715252564,0.1246745874,-0.01933680562,-0.01202559636,0.07680121145,0.1389089813,0.0591056345,0.07104848251,0.03277141654,0.02066406575,0.06124383592,0.03224850589,0.01844263478,-0.03887982191,0.05248442817,-0.02542897114,0.03202722153,0.01446069542,-0.007121508458,-0.00878662998,-0.01626735722,-0.001747714842
50,tracked,0.01358999908,0.1174292281,0.07804386622,1.617213272,-21.68136367,9.062512303,683.033358,1.203529897,0.03850353193,0.3819016307,0.1000734265,-0.06134528467,0.04157267218,0.1767576617,-0.05506114864,0.1005192004,-0.01709887572,0.1194057617,-0.01988799646,-0.01001556856,0.07339797108,0.137615262,0.05624982505,0.07233599663,0.03297190232,0.01874179436,0.0614057041,0.03287619096,0.01889101196,-0.03770640907,0.05185486718,-0.0273437083,0.03295799859,0.01295161805,-0.006997997903,-0.008968241064,-0.01737001592,-0.003196378473
51,tracked,0.01445768481,0.1187611806,0.07815307185,1.619956127,-21.68137967,9.062379817,683.3407659,1.203529897,0.01415808014,0.3797707531,0.09500097018,-0.05473169022,0.03851627935,0.1760763887,-0.06143758441,0.09859867435,-0.01635772878,0.115129523,-0.02033129091,-0.008661810819,0.06983963105,0.1354137351,0.05455640667,0.07366368104,0.03271880835,0.01689164503,0.06135030981,0.0331642408,0.01924925549,-0.03739792395,0.05080182832,-0.02898989324,0.03366297199,0.01181761888,-0.006764707616,-0.008772304614,-0.01809222734,-0.00470022531
52,tracked,0.01345501568,0.11906947,0.07843311242,1.623813117,-21.68140329,9.061911813,683.7380089,1.203529897,0.001225870177,0.375298826,0.09014842126,-0.04944079088,0.03655746595,0.1745144773,-0.06614072711,0.0967016661,-0.01494634642,0.1105616587,-0.01904462711,-0.008250416753,0.06593595343,0.1323622618,0.05298543666,0.07388356405,0.03288683048,0.01559874608,0.06078106333,0.03353606079,0.02010381418,-0.03789615137,0.05056239051,-0.03124432213,0.03444285345,0.01046344003,-0.006885835895,-0.008468095513,-0.01896437043,-0.006770067769
53,tracked,0.0140622051,0.1186086879,0.07581912644,1.623928981,-21.68143872,9.061209727,686.9286716,1.203529897,-0.01192608077,0.3719495699,0.08516164592,-0.04432534821,0.03487801271,0.1729334458,-0.07125910052,0.09468746471,-0.01316342082,0.1061800327,-0.01778832407,-0.007717174553,0.06216724673,0.1295454873,0.05106398788,0.07410439294,0.03366245926,0.01410349621,0.05988663199,0.03434624591,0.02129013451,-0.03928037196,0.0500693678,-0.03386903269,0.03536949637,0.009133700291,-0.006863769277,-0.008293975148,-0.02002595992,-0.009483005438
54,tracked,0.01430509428,0.1182017351,0.07897403672,1.627246516,-21.68145807,9.060471827,687.5265273,1.203529897,-0.02555100592,0.3686307667,0.08023013738,-0.03895331652,0.03300026266,0.1715792043,-0.07574957595,0.09329413741,-0.01161644221,0.1014588883,-0.01607734905,-0.00729586284,0.05849496885,0.1267668809,0.04895142126,0.07404390628,0.03444189439,0.01280171429,0.05908788604,0.03524336548,0.02232196567,-0.04033359586,0.0498692911,-0.03647376357,0.03621968916,0.007671355104,-0.006846572605,-0.008125052018,-0.02112435808,-0.01213219723
55,tracked,0.01353573709,0.1243134257,0.07850861019,1.620277371,-21.68139625,9.060007538,685.2824742,1.203529897,-0.03304556921,0.3646571179,0.07593184056,-0.03483885064,0.03249358916,0.1689159415,-0.08168019969,0.08949539513,-0.009927929396,0.097798507,-0.01492267602,-0.006066840765,0.0554024096,0.1239451616,0.04773983021,0.07437614813,0.03490247316,0.01161962435,0.05793588659,0.03576273931,0.02281010421,-0.04190896536,0.04931486521,-0.0380951768,0.03700145251,0.007048881221,-0.006588132137,-0.007975879662,-0.02185482703,-0.01421357173
56,tracked,0.01342327688,0.1288672747,0.08017719543,1.619094727,-21.68131487,9.059589267,680.9136858,1.203529897,-0.03560801638,0.3600766548,0.0726821016,-0.03177815237,0.03239155167,0.1666440671,-0.08665371009,0.08577373196,-0.008838636132,0.09528289167,-0.01410245721,-0.005163387905,0.0529650781,0.1216774953,0.0469715235,0.07461645129,0.03500982798,0.01077993255,0.05684785243,0.0359995749,0.02325136479,-0.04282497475,0.04874623421,-0.03942331891,0.03766248365,0.006841655523,-0.006641767314,-0.007815302513,-0.02251174822,-0.01526197158
57,tracked,0.01296602315,0.1330571602,0.08408376453,1.617155015,-21.68124742,9.059485688,677.8530154,1.203529897,-0.03885149575,0.3565448523,0.07039348007,-0.02993690325,0.03208452421,0.1656525498,-0.0902443178,0.08318936135,-0.00812584983,0.0935892243,-0.01369532697,-0.004015995538,0.05100585346,0.1203175324,0.04588566841,0.07477389203,0.03449759023,0.009983571787,0.05633715401,0.03597440814,0.02331338876,-0.04360477434,0.04768810894,-0.04008493447,0.03837964986,0.006428099196,-0.007046672069,-0.007484156673,-0.02302871504,-0.01587091132
58,tracked,0.01332846946,0.134010825,0.0841796901,1.617726092,-21.68111219,9.059254653,675.2512838,1.203529897,-0.05011822257,0.3538235458,0.06867448502,-0.02855759305,0.03119281904,0.1651013029,-0.09372627743,0.08036463342,-0.008455396228,0.09165850052,-0.01521809257,-0.002011480041,0.05048072113,0.1206199908,0.04489338565,0.07537333843,0.03345282886,0.009454608074,0.05594831877,0.03598105544,0.02279728619,-0.04372822878,0.04677642382,-0.03987923532,0.03835960031,0.007017430123,-0.006706954536,-0.007627598331,-0.02316623102,-0.01577616896
59,tracked,0.01237489091,0.1374336953,0.08267976271,1.602809776,-21.68086504,9.059255507,670.6206135,1.203529897,-0.05255558211,0.3448078859,0.06777533135,-0.02969479701,0.03094090128,0.1630876886,-0.09275674972,0.07739758945,-0.009073449463,0.08977203743,-0.01610045546,0.000543280096,0.05057122075,0.1202242762,0.0447045964,0.07590866303,0.03072201984,0.009465764732,0.05670200901,0.03508484812,0.02194875846,-0.0425900605,0.04698780725,-0.03821067601,0.03773942835,0.007729276494,-0.006408869449,-0.008270348684,-0.02191010508,-0.01484128585
60,tracked,0.01195072719,0.139538172,0.08267658988,1.607555824,-21.68063895,9.05927373,665.1991758,1.203529897,-0.04468879834,0.3307224445,0.06813864419,-0.03312625583,0.03155597906,0.160305204,-0.08878918878,0.0734816923,-0.0106441802,0.08894198518,-0.01747767774,0.003333916376,0.05148921585,0.1212030918,0.04473215689,0.07575936068,0.02659383192,0.009994005595,0.05701330222,0.03432762298,0.02065986123,-0.04146462822,0.04701693751,-0.03590926162,0.03650040922,0.009062495737,-0.006402591994,-0.009300923394,-0.02004613825,-0.01313806937
61,tracked,0.01151291774,0.1427034659,0.08557637709,1.612766338,-21.68045276,9.059221875,665.6104823,1.203529897,-0.03720284802,0.3172276812,0.06926697959,-0.03762452831,0.03090546303,0.1593884404,-0.08108478354,0.07305162819,-0.01221569107,0.08883481778,-0.01791018144,0.005932465337,0.05212304287,0.1226037054,0.0441522413,0.07542991065,0.02220007185,0.01067269571,0.05827621566,0.03368334449,0.01990037783,-0.04027046353,0.0475969419,-0.03361268487,0.03527103218,0.009694283263,-0.006712554913,-0.01018015927,-0.01786890934,-0.01154857175
62,tracked,0.01165140736,0.1392120955,0.08586444929,1.612848225,-21.68036028,9.059335657,666.6094028,1.203529897,-0.02765613364,0.3028234966,0.07039008418,-0.04264560346,0.0302577381,0.1581160002,-0.07242936338,0.07295158482,-0.01320185967,0.08922191837,-0.01796018506,0.008416375977,0.05195439641,0.1234696033,0.04372044838,0.07532364297,0.01744759523,0.01126557309,0.05959609756,0.03304643551,0.01930253052,-0.03985362465,0.04815817661,-0.03142236219,0.0342184033,0.009983017373,-0.007030315784,-0.01099060447,-0.0155359049,-0.0102498506
63,tracked,0.01148934629,0.1387754783,0.08651172633,1.619532334,-21.68028994,9.059153858,665.3303302,1.203529897,-0.01440826228,0.2862590999,0.07144986,-0.04717084879,0.03028028875,0.156329005,-0.0660285285,0.07057676406,-0.01464073117,0.08898027657,-0.01916649071,0.01036077317,0.05232781269,0.1252778594,0.04335656226,0.07452792659,0.01306798069,0.01222753595,0.05947444785,0.03270576731,0.01844793596,-0.03914857198,0.04830310587,-0.02984592722,0.03278808174,0.01093685157,-0.007475964153,-0.01209445363,-0.01374446337,-0.008904498954
64,tracked,0.01164931461,0.1369271396,0.08773176102,1.620803362,-21.68022807,9.059380908,666.1362098,1.203529897,0.002837502837,0.2690632278,0.07287872863,-0.05250025713,0.03050121559,0.1537289898,-0.05828592358,0.06840544851,-0.01585426466,0.08887691704,-0.02009351082,0.01190487264,0.05254431379,0.1265343508,0.04329986724,0.07355294968,0.008604814643,0.01329159882,0.05965735551,0.03226160569,0.01716789162,-0.03828185078,0.04870621153,-0.02752794075,0.03131438876,0.01197271422,-0.007972188609,-0.01288795382,-0.01164922557,-0.007331589358
65,tracked,0.01202632737,0.132815716,0.08819463631,1.623421915,-21.68014431,9.059322516,664.1549047,1.203529897,0.02778872674,0.2503355824,0.07465893585,-0.05878928252,0.03225588718,0.1501699672,-0.05046141443,0.06509258728,-0.01630837108,0.08890925756,-0.02072455588,0.01298078001,0.05318850388,0.1281122551,0.04290282372,0.07241597206,0.004428161475,0.01473156206,0.05886585201,0.03232343774,0.01642329134,-0.03901732274,0.04877870031,-0.02591961665,0.02993306534,0.01279700129,-0.008736886592,-0.01396873433,-0.009920220602,-0.006485127882
66,tracked,0.0119986844,0.1392675721,0.08801621271,1.623495031,-21.67991498,9.059243452,664.4194286,1.203529897,0.05659438372,0.234082985,0.07762492198,-0.06649042278,0.034291055,0.1469786856,-0.04080290103,0.06341119435,-0.01632183869,0.08962567577,-0.02094276225,0.01313639896,0.05464972593,0.1292887303,0.0426125399,0.0712902566,0.0009336248242,0.01666652461,0.05850835354,0.03210725162,0.01598944439,-0.03978185034,0.04936630826,-0.02383554075,0.02844753642,0.01364369838,-0.009600802215,-0.014862823,-0.008301219063,-0.005487176547
67,tracked,0.01229740425,0.1438934288,0.09323131188,1.625549009,-21.67960034,9.059287148,665.3109255,1.203529897,0.08150074168,0.2258639931,0.08137953049,-0.07381245108,0.03569756083,0.145529502,-0.0303895362,0.06487110718,-0.01633651272,0.09281844144,-0.02027532096,0.01283341762,0.05620902807,0.1302727707,0.04269423531,0.07070522986,-0.001005252849,0.01796022982,0.05913983159,0.03178413617,0.01612317658,-0.04024063991,0.05011746655,-0.0216816648,0.02771551774,0.01418699432,-0.01034159434,-0.01541486963,-0.006855797329,-0.004290637098
68,tracked,0.01256808811,0.1421306693,0.09877606888,1.62835414,-21.67929761,9.059284399,664.3492365,1.203529897,0.1070706534,0.2222276614,0.08530740309,-0.08031256831,0.03714064023,0.1446573329,-0.02001057255,0.06769991712,-0.01645280525,0.09707849687,-0.01842716654,0.01181697631,0.05783461584,0.130888188,0.04302178824,0.06983100144,-0.001858612712,0.01914611559,0.05974668917,0.03142161189,0.01640207605,-0.04037088809,0.05112123221,-0.01977890239,0.02708905586,0.01444811973,-0.01119816976,-0.01569549005,-0.005821387675,-0.003024072913
69,tracked,0.01275129947,0.1404980839,0.09410570472,1.629187804,-21.67890766,9.058985656,664.9519417,1.203529897,0.1322128121,0.221110358,0.08904209971,-0.08555455276,0.03940214562,0.142946338,-0.01071509108,0.07007668686,-0.01729892135,0.1017875718,-0.01661992928,0.01078003989,0.06028029149,0.1313097735,0.04367631207,0.0688917372,-0.002017548501,0.02043128214,0.05999165281,0.03101144421,0.01669543601,-0.0399233616,0.05229562256,-0.01805985169,0.02636087802,0.01479376541,-0.01185129754,-0.01614938165,-0.004938157594,-0.0009658242142
70,tracked,0.01263445304,0.1445254101,0.09672281044,1.635711709,-21.67846667,9.058401448,660.8723167,1.203529897,0.1509445983,0.2216762757,0.09254324985,-0.08910485503,0.0411072982,0.1421694085,-0.005958093386,0.07118554005,-0.01801555304,0.1056960788,-0.01613174355,0.009496193341,0.06252324422,0.1322426118,0.04471286791,0.06859146798,-0.001303199816,0.02143719648,0.05938500835,0.03094268589,0.01731745684,-0.03934295035,0.05335589089,-0.01732887004,0.02564496844,0.01588186841,-0.01186807014,-0.01657982496,-0.0046958778,0.000561591998
71,tracked,0.01276589117,0.1505680471,0.09565758874,1.630208801,-21.67799049,9.058333873,658.3444138,1.203529897,0.1719759551,0.2221153461,0.09613956015,-0.09337958481,0.04356652344,0.1410015577,0.0002581766609,0.07274334144,-0.01844178828,0.1104256162,-0.01513924306,0.008470899795,0.06461993378,0.1327373923,0.04583942834,0.06817702726,-0.00116457814,0.02214559757,0.05960754766,0.03059640844,0.01779335736,-0.03928803085,0.05366700341,-0.01624696466,0.02547992999,0.01609887815,-0.01227437989,-0.01690028236,-0.004160027551,0.00219124094
72,tracked,0.01249420696,0.1534631927,0.09417170052,1.624986821,-21.67755561,9.058166306,657.5135452,1.203529897,0.192168171,0.2212258155,0.0991125996,-0.09713540528,0.0463390427,0.139404271,0.004571084192,0.07271409042,-0.01872919471,0.113915328,-0.01459135045,0.007812154464,0.06663013853,0.1332038152,0.04714682583,0.0678961979,-0.001104733431,0.0230501792,0.05952678917,0.03006861809,0.01804535593,-0.03946949043,0.05406202228,-0.01528580415,0.02523313417,0.01665706396,-0.01244580363,-0.01719393173,-0.00365068243,0.003439941268
73,tracked,0.01250185933,0.1515332556,0.09565893896,1.625343941,-21.67711189,9.058022074,657.4152793,1.203529897,0.2074274333,0.2210533976,0.1013123498,-0.09980235614,0.04892343737,0.1380444689,0.008161830458,0.07277239968,-0.01938197654,0.1168130974,-0.01384246127,0.007444218232,0.0684764136,0.133788985,0.04797419484,0.06735176275,-0.001159187465,0.02374302285,0.05935593789,0.02985550593,0.01818134375,-0.03977699105,0.05393395947,-0.01479053532,0.02505017125,0.01671409452,-0.01262066824,-0.01763077434,-0.003314972457,0.004471267073
74,tracked,0.01227587073,0.1579873502,0.09511431576,1.6178867,-21.67662505,9.057998911,656.9626902,1.203529897,0.2222405674,0.21955165,0.1035570312,-0.1030856034,0.05111934463,0.1363816012,0.01181539273,0.07244927418,-0.0196032112,0.1196601251,-0.01392160628,0.007116748004,0.07017518725,0.1340979779,0.04884418274,0.06702103012,-0.001512179129,0.02425304753,0.05925895637,0.02918182695,0.01813789723,-0.03994362029,0.05360952879,-0.01387376365,0.02478801886,0.01696582081,-0.01291846606,-0.01797660575,-0.002836413817,0.005443075274
75,tracked,0.01312316448,0.1532640023,0.09877095224,1.627150617,-21.67599029,9.058014067,662.9728711,1.203529897,0.2359479194,0.2207259672,0.1067709839,-0.1072594588,0.05379301576,0.1351926951,0.01801601893,0.07409243332,-0.02000684737,0.1239486287,-0.01426526961,0.006116628846,0.07297677166,0.1344425188,0.04957110312,0.06697259177,-0.001422345099,0.02519945783,0.05946615578,0.02811083942,0.01852222636,-0.039934536,0.05344368128,-0.01262001587,0.02443496116,0.01711454637,-0.01310893368,-0.01823289821,-0.002071596993,0.007199361707
76,tracked,0.01328749123,0.155737287,0.1016793158,1.624585817,-21.67534676,9.057999237,659.2986843,1.203529897,0.2486268761,0.2196289142,0.1095116378,-0.1104031681,0.05794972224,0.1328971344,0.02084657393,0.07253099413,-0.01921310916,0.1254775735,-0.01584465649,0.00518473943,0.0761914613,0.1352833907,0.05074804149,0.06737758331,-0.0006275653009,0.02668707645,0.05919833281,0.02725957986,0.01846321343,-0.04087071791,0.0531563475,-0.01197433256,0.0242091436,0.01797689731,-0.01280943474,-0.0184241696,-0.00140535745,0.00766322539
77,tracked,0.01229464831,0.1529949368,0.1037594705,1.625189974,-21.67482164,9.057989236,656.5684655,1.203529897,0.2520889106,0.2196064201,0.1109877452,-0.1107848717,0.0614587926,0.1315857526,0.01875793597,0.06927217323,-0.01937280494,0.1261115051,-0.01868193877,0.00489743747,0.07935117507,0.1367863262,0.05133201128,0.06761122885,0.0003496957759,0.02750829284,0.05801963906,0.0265613202,0.01777936858,-0.04092419771,0.05186927289,-0.01205804182,0.02358533344,0.01897692778,-0.01255248032,-0.01886613865,-0.001476262749,0.008308024066
78,tracked,0.01239245866,0.1544265118,0.1036814968,1.615603987,-21.67428632,9.057901529,658.6599831,1.203529897,0.2476321659,0.2231533225,0.1122203984,-0.1108329406,0.06234724818,0.1324522497,0.01842887776,0.06982426738,-0.01968578559,0.1273158417,-0.02000974684,0.004978765271,0.08115422011,0.1374174702,0.05176898193,0.06833328808,0.001054554038,0.02776602088,0.05844452251,0.02573259694,0.01761475773,-0.0402192911,0.05157144892,-0.01162369386,0.02328273717,0.01947529198,-0.01210647984,-0.01883329798,-0.001241625897,0.008991600061
79,tracked,0.01179450803,0.1537976148,0.0986110599,1.617614747,-21.6739176,9.057928144,663.6626478,1.203529897,0.2328100742,0.2282560479,0.1122549406,-0.1098992921,0.06186141053,0.1349450931,0.01584212363,0.07086461242,-0.01999074511,0.1270669028,-0.02142247866,0.005913449963,0.08226877622,0.1380704878,0.05065400937,0.06886300517,0.001684081661,0.02737768787,0.05882562076,0.02550588229,0.01725800883,-0.03993830063,0.05040380534,-0.01150373289,0.02330478752,0.01959627304,-0.01172550013,-0.01862812316,-0.00154755281,0.009189329652
80,tracked,0.01199119841,0.1443727535,0.0970133309,1.61755358,-21.67360956,9.057998717,667.8223922,1.203529897,0.2135580616,0.2299231521,0.1105906498,-0.1079728264,0.06119892023,0.1363174147,0.01083610862,0.06940765008,-0.02022295918,0.1243090329,-0.02372477492,0.007297014829,0.08248964802,0.1388748689,0.04919297281,0.06939267119,0.001609592183,0.02708637824,0.05876888115,0.02572815596,0.01669741421,-0.03973722726,0.04913683184,-0.01176977285,0.02328451398,0.01989382419,-0.01122441524,-0.0184693884,-0.002071762294,0.008885126117
81,tracked,0.01215957473,0.1430488052,0.09923777763,1.622196018,-21.67322025,9.058097426,668.3029968,1.203529897,0.193294597,0.228882966,0.1084058131,-0.1060730226,0.06024304054,0.1368471198,0.005750660218,0.06687770076,-0.02050104048,0.1201936425,-0.02619439585,0.009026371367,0.08218297959,0.1397242052,0.04756140826,0.06953356066,0.001015932769,0.02683980361,0.05848368105,0.02630475176,0.01576693886,-0.03940264929,0.04795357312,-0.01211337872,0.02330388825,0.02041703962,-0.01068199549,-0.01829467274,-0.002537179746,0.008532405799
82,tracked,0.01246093861,0.1403278208,0.1010670318,1.61561515,-21.67283772,9.058284724,669.4701248,1.203529897,0.1738401349,0.2262078413,0.1063628965,-0.1047519045,0.05889940663,0.137133496,0.0009868893724,0.06404950804,-0.02080479337,0.1162421386,-0.02906733058,0.0108773848,0.08192610532,0.1400831217,0.04602208268,0.07007949437,0.0001250911576,0.02643379011,0.05843656481,0.02651123403,0.01475397233,-0.03847517559,0.04714920351,-0.01223812174,0.02302009224,0.02108805611,-0.01017236977,-0.0183433467,-0.002851247313,0.008587180673
83,tracked,0.01190800675,0.1426558122,0.1007156324,1.617807943,-21.6725116,9.058579741,667.9679326,1.203529897,0.1545013511,0.2235975356,0.1033933968,-0.1019436521,0.0581421155,0.136932878,-0.005666148365,0.06034734173,-0.02074808722,0.1110215763,-0.03134467434,0.01232378303,0.08109535328,0.1402572491,0.04478235595,0.06998939839,-0.0005004473851,0.02605536963,0.05787153295,0.02695454115,0.01346835274,-0.03804961416,0.04581653752,-0.01244628743,0.02297987298,0.02142553768,-0.00957791911,-0.01821322792,-0.003423713434,0.007660098454
84,tracked,0.01206232856,0.1418399557,0.09945845976,1.61950195,-21.67222429,9.058814101,668.668053,1.203529897,0.1350882282,0.2217854287,0.100198879,-0.09852553001,0.05801386634,0.1367076205,-0.01321344195,0.05609850286,-0.02074225095,0.1061339255,-0.03401569477,0.01391170444,0.08052818986,0.1409819487,0.04328420318,0.06981487501,-0.0007009895683,0.0255388821,0.05703048129,0.02756166187,0.01230054984,-0.03792696808,0.04384102108,-0.01286965997,0.02340288301,0.02162203308,-0.009156632147,-0.01819796521,-0.004092869366,0.00654486714
