# index	name	x_px	y_px	z_norm	x_norm	y_norm
212		258.434916	216.689117	0.020369	0.430725	0.564295
213		235.631132	199.711693	0.054324	0.392719	0.520083
214		250.094694	217.420647	0.032311	0.416824	0.566200
215		232.771039	204.610680	0.083315	0.387952	0.532840
216		260.419661	203.856537	0.006393	0.434033	0.530876
217		284.652025	161.934963	-0.024303	0.474420	0.421706
218		284.221923	183.765518	-0.046124	0.473703	0.478556
219		280.041629	184.990517	-0.032502	0.466736	0.481746
220		287.137967	179.543953	-0.055589	0.478563	0.467562
221		279.641122	131.941223	-0.013143	0.466069	0.343597
222		268.037367	127.484859	-0.016276	0.446729	0.331992
223		257.941335	126.259815	-0.015450	0.429902	0.328802
224		249.918294	127.186432	-0.010211	0.416530	0.331215
225		244.792736	129.811901	-0.002208	0.407988	0.338052
226		242.390782	140.712467	0.019003	0.403985	0.366439
227		223.669535	158.693195	0.076464	0.372783	0.413264
228		247.325599	150.867004	0.012228	0.412209	0.392883
229		253.821033	153.254539	0.005306	0.423035	0.399100
230		262.763554	153.306988	0.000498	0.437939	0.399237
231		271.364093	151.616455	-0.001551	0.452273	0.394835
232		278.108633	149.445511	-0.003181	0.463514	0.389181
233		282.737285	147.431602	-0.004271	0.471229	0.383936
234	right_cheek_outer	223.140907	157.920582	0.121800	0.371902	0.411252
235		280.211020	186.606388	-0.026296	0.467018	0.485954
236		288.682419	164.531559	-0.041553	0.481137	0.428468
237		288.997668	184.718456	-0.055254	0.481663	0.481038
238		292.609888	187.993984	-0.049764	0.487683	0.489568
239		289.025652	185.576397	-0.049278	0.481709	0.483272
240		282.199198	188.560249	-0.021747	0.470332	0.491042
241		293.989062	188.859604	-0.052774	0.489982	0.491822
242		294.657272	190.055557	-0.038299	0.491095	0.494936
243		282.853103	142.146526	-0.000218	0.471422	0.370173
244		286.267322	143.963745	-0.006974	0.477112	0.374906
245		288.012779	145.431118	-0.015173	0.480021	0.378727
246		251.696867	137.741730	0.006325	0.419495	0.358702
247		246.804106	134.867271	0.006414	0.411340	0.351217
248		305.538583	161.391174	-0.050714	0.509231	0.420290
249		348.128700	140.569736	0.008032	0.580215	0.366067
250		306.788135	188.738766	-0.038621	0.511314	0.491507
251		376.753414	111.265411	0.056120	0.627922	0.289754
252		329.033554	146.590576	-0.002768	0.548389	0.381746
253		336.063480	147.219212	-0.002077	0.560106	0.383383
254		342.785776	146.901054	0.000938	0.571310	0.382555
255		351.208413	143.061710	0.010344	0.585347	0.372557
256		322.907960	144.949436	-0.002166	0.538180	0.377472
257		339.927113	128.168015	-0.010688	0.566545	0.333771
258		331.679535	128.836258	-0.010735	0.552799	0.335511
259		347.259736	129.355957	-0.006671	0.578766	0.336864
260		351.748896	131.871288	-0.001402	0.586248	0.343415
261		357.559705	147.167027	0.017017	0.595933	0.383247
262		326.311684	247.282288	0.018620	0.543853	0.643964
